tender_id,judul,instansi,tanggal,nama_asli,vendor_id,nilai_penawaran,nilai_hps,is_winner,rank,sumber
NORMAL-2024-00001,Pekerjaan Konstruksi Dinas PU DKI Jakarta Paket 1,Dinas PU DKI Jakarta,2024-08-25,UD PERDANA KARYA,UD PERDANA KARYA,28292832460.0,27919115360.0,True,1,demo
NORMAL-2024-00001,Pekerjaan Konstruksi Dinas PU DKI Jakarta Paket 1,Dinas PU DKI Jakarta,2024-08-25,UD GLOBAL TEKNIK,UD GLOBAL TEKNIK,20497504806.0,27919115360.0,False,2,demo
NORMAL-2024-00001,Pekerjaan Konstruksi Dinas PU DKI Jakarta Paket 1,Dinas PU DKI Jakarta,2024-08-25,UD SEJAHTERA CIPTA,UD SEJAHTERA CIPTA,24081305697.0,27919115360.0,False,3,demo
NORMAL-2024-00001,Pekerjaan Konstruksi Dinas PU DKI Jakarta Paket 1,Dinas PU DKI Jakarta,2024-08-25,PT PERKASA ENGINERING,PT PERKASA ENGINERING,23307267980.0,27919115360.0,False,4,demo
NORMAL-2024-00001,Pekerjaan Konstruksi Dinas PU DKI Jakarta Paket 1,Dinas PU DKI Jakarta,2024-08-25,CV GLOBAL INDO,CV GLOBAL INDO,24498636575.0,27919115360.0,False,5,demo
NORMAL-2024-00001,Pekerjaan Konstruksi Dinas PU DKI Jakarta Paket 1,Dinas PU DKI Jakarta,2024-08-25,UD INTI KONSTRUKSI,UD INTI KONSTRUKSI,27255778789.0,27919115360.0,False,6,demo
NORMAL-2024-00001,Pekerjaan Konstruksi Dinas PU DKI Jakarta Paket 1,Dinas PU DKI Jakarta,2024-08-25,CV MULIA GRAHA,CV MULIA GRAHA,20732780799.0,27919115360.0,False,7,demo
NORMAL-2024-00002,Pekerjaan Konstruksi Satuan Kerja PUPR DKI Paket 2,Satuan Kerja PUPR DKI,2023-12-29,CV GLOBAL TEKNIK,CV GLOBAL TEKNIK,16998446852.0,21467141839.0,True,1,demo
NORMAL-2024-00002,Pekerjaan Konstruksi Satuan Kerja PUPR DKI Paket 2,Satuan Kerja PUPR DKI,2023-12-29,UD ANDALAN MULTI,UD ANDALAN MULTI,18799568719.0,21467141839.0,False,2,demo
NORMAL-2024-00002,Pekerjaan Konstruksi Satuan Kerja PUPR DKI Paket 2,Satuan Kerja PUPR DKI,2023-12-29,UD INTI KONSTRUKSI,UD INTI KONSTRUKSI,17145287547.0,21467141839.0,False,3,demo
NORMAL-2024-00002,Pekerjaan Konstruksi Satuan Kerja PUPR DKI Paket 2,Satuan Kerja PUPR DKI,2023-12-29,PT INTI KARYA,PT INTI KARYA,15942094162.0,21467141839.0,False,4,demo
NORMAL-2024-00002,Pekerjaan Konstruksi Satuan Kerja PUPR DKI Paket 2,Satuan Kerja PUPR DKI,2023-12-29,CV UNGGUL RAYA,CV UNGGUL RAYA,19486117197.0,21467141839.0,False,5,demo
NORMAL-2024-00002,Pekerjaan Konstruksi Satuan Kerja PUPR DKI Paket 2,Satuan Kerja PUPR DKI,2023-12-29,CV MULIA GRAHA,CV MULIA GRAHA,17284391569.0,21467141839.0,False,6,demo
NORMAL-2024-00003,Pekerjaan Konstruksi Dinas Cipta Karya Jakarta Selatan Paket 3,Dinas Cipta Karya Jakarta Selatan,2023-02-21,CV PRIMA GRAHA,CV PRIMA GRAHA,26953707283.0,32781172253.0,False,1,demo
NORMAL-2024-00003,Pekerjaan Konstruksi Dinas Cipta Karya Jakarta Selatan Paket 3,Dinas Cipta Karya Jakarta Selatan,2023-02-21,UD GLOBAL TEKNIK,UD GLOBAL TEKNIK,25659847160.0,32781172253.0,False,2,demo
NORMAL-2024-00003,Pekerjaan Konstruksi Dinas Cipta Karya Jakarta Selatan Paket 3,Dinas Cipta Karya Jakarta Selatan,2023-02-21,PT NUSANTARA BANGUN,PT NUSANTARA BANGUN,29574160604.0,32781172253.0,False,3,demo
NORMAL-2024-00003,Pekerjaan Konstruksi Dinas Cipta Karya Jakarta Selatan Paket 3,Dinas Cipta Karya Jakarta Selatan,2023-02-21,PT GEMILANG KONSTRUKSI,PT GEMILANG KONSTRUKSI,27793764552.0,32781172253.0,True,4,demo
