tender_id,tender_risk_score,tender_risk_level,vendor_count,max_vendor_risk,avg_vendor_risk,high_risk_vendors,suspicious_vendors,judul,instansi,tanggal,nilai_hps,sumber
RINGB-2024-00065,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 65,Kementerian PUPR — Balai Besar,2024-05-27,13719266145.0,demo
RINGB-2024-00064,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 64,BPTJ DKI Jakarta,2023-03-17,27563398310.0,demo
RINGB-2024-00049,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 49,BPTJ DKI Jakarta,2023-08-28,5436628707.0,demo
RINGB-2024-00080,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 80,BPTJ DKI Jakarta,2024-12-03,18619082678.0,demo
RINGB-2024-00001,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 1,Kementerian PUPR — Balai Besar,2024-01-24,6173409363.0,demo
RINGB-2024-00002,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 2,Kementerian PUPR — Balai Besar,2024-01-31,6524284065.0,demo
RINGB-2024-00003,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 3,Satuan Kerja PUPR DKI,2023-03-05,45904824196.0,demo
RINGB-2024-00004,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 4,BPTJ DKI Jakarta,2024-08-26,25761570158.0,demo
RINGB-2024-00005,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 5,Dinas SDA DKI Jakarta,2023-07-19,16085660900.0,demo
RINGB-2024-00006,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 6,BPTJ DKI Jakarta,2023-01-04,10328509288.0,demo
RINGB-2024-00007,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 7,BPTJ DKI Jakarta,2024-01-14,40959801900.0,demo
RINGB-2024-00008,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 8,BPTJ DKI Jakarta,2023-12-06,1467485396.0,demo
RINGB-2024-00009,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 9,Satuan Kerja PUPR DKI,2023-04-05,4154374470.0,demo
RINGB-2024-00010,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 10,BPTJ DKI Jakarta,2024-12-21,42115811349.0,demo
RINGB-2024-00011,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 11,Kementerian PUPR — Balai Besar,2024-09-20,40988272851.0,demo
RINGB-2024-00012,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 12,BPTJ DKI Jakarta,2024-01-12,38763776167.0,demo
RINGB-2024-00013,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 13,Kementerian PUPR — Balai Besar,2024-07-01,36417972323.0,demo
RINGB-2024-00014,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 14,Dinas SDA DKI Jakarta,2024-07-06,21955727187.0,demo
RINGB-2024-00015,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 15,Kementerian PUPR — Balai Besar,2024-09-21,4096068572.0,demo
RINGB-2024-00016,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 16,BPTJ DKI Jakarta,2024-08-06,22996298949.0,demo
RINGB-2024-00017,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 17,Dinas SDA DKI Jakarta,2024-03-17,44118386449.0,demo
RINGB-2024-00018,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 18,Dinas SDA DKI Jakarta,2024-01-25,1227280717.0,demo
RINGB-2024-00019,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 19,Satuan Kerja PUPR DKI,2023-05-23,47066886184.0,demo
